timestamp,datetime,type,ssid_name,mac,rssi_dbm,distance_m,level,whitelisted,manufacturer,mac_random,device_type,hidden_network
1779746305.8871982,2026-05-25 16:58:25,WIFI,WILLIANS,EA:4D:74:53:55:78,-51,0.51,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746305.8871982,2026-05-25 16:58:25,WIFI,W10,18:D6:C7:E0:C1:FE,-77,4.64,WARNING,False,Desconocido,False,Desconocido,False
1779746309.6824067,2026-05-25 16:58:29,WIFI,WILLIANS,EA:4D:74:53:55:78,-49,0.43,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746313.6684225,2026-05-25 16:58:33,WIFI,WILLIANS,EA:4D:74:53:55:78,-55,0.71,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746317.7005842,2026-05-25 16:58:37,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746317.7015736,2026-05-25 16:58:37,WIFI,W10,18:D6:C7:E0:C1:FE,-77,4.64,WARNING,False,Desconocido,False,Desconocido,False
1779746321.7417731,2026-05-25 16:58:41,WIFI,WILLIANS,EA:4D:74:53:55:78,-61,1.19,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746325.7755663,2026-05-25 16:58:45,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746329.8272345,2026-05-25 16:58:49,WIFI,WILLIANS,EA:4D:74:53:55:78,-62,1.29,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746329.828241,2026-05-25 16:58:49,WIFI,W10,18:D6:C7:E0:C1:FE,-77,4.64,WARNING,False,Desconocido,False,Desconocido,False
1779746337.8191667,2026-05-25 16:58:57,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779746337.8191667,2026-05-25 16:58:57,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779746341.7925115,2026-05-25 16:59:01,WIFI,WILLIANS,EA:4D:74:53:55:78,-62,1.29,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
