timestamp,datetime,type,ssid_name,mac,rssi_dbm,distance_m,level,whitelisted,manufacturer,mac_random,device_type,hidden_network
1779747920.8568175,2026-05-25 17:25:20,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747920.8568175,2026-05-25 17:25:20,WIFI,WILLIANS,EA:4D:74:53:55:78,-45,0.3,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747920.8578176,2026-05-25 17:25:20,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747924.6802275,2026-05-25 17:25:24,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747924.6827424,2026-05-25 17:25:24,WIFI,WILLIANS,EA:4D:74:53:55:78,-46,0.33,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747924.6827424,2026-05-25 17:25:24,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747928.7450457,2026-05-25 17:25:28,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-39,0.18,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747928.7450457,2026-05-25 17:25:28,WIFI,WILLIANS,EA:4D:74:53:55:78,-50,0.46,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747928.7459304,2026-05-25 17:25:28,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747932.8859634,2026-05-25 17:25:32,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
