timestamp,datetime,type,ssid_name,mac,rssi_dbm,distance_m,level,whitelisted,manufacturer,mac_random,device_type,hidden_network
1779821618.5861504,2026-05-26 13:53:38,WIFI,Redmi 15,6A:1B:3A:C2:23:3A,-54,0.65,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821618.5861504,2026-05-26 13:53:38,WIFI,TECNO SPARK 20,92:20:93:C3:A2:7C,-59,1.0,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821618.587161,2026-05-26 13:53:38,WIFI,RCU - ADMIN,90:4C:81:9F:35:80,-60,1.09,CRITICAL,False,ZTE,False,Desconocido,False
1779821618.588161,2026-05-26 13:53:38,WIFI,RCU - ALUMNOS,90:4C:81:9F:35:81,-61,1.19,CRITICAL,False,ZTE,False,Desconocido,False
1779821618.596017,2026-05-26 13:53:38,WIFI,RCU - DOCENTES,90:4C:81:9F:35:82,-61,1.19,CRITICAL,False,ZTE,False,Desconocido,False
1779821618.5970194,2026-05-26 13:53:38,WIFI,Galaxy A02scfe9,FE:B2:E4:D4:43:AA,-64,1.53,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821618.5980172,2026-05-26 13:53:38,WIFI,Redmi jc,0E:4A:9E:E9:7B:0B,-72,3.03,WARNING,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821618.5980172,2026-05-26 13:53:38,WIFI,RCU - DOCENTES,54:F0:B1:D0:66:81,-75,3.91,WARNING,False,FiberHome,False,Desconocido,False
1779821618.5990167,2026-05-26 13:53:38,WIFI,G14,3E:80:30:02:47:EA,-76,4.26,WARNING,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821618.5990167,2026-05-26 13:53:38,WIFI,RCU - ADMIN,54:F0:B1:D0:66:82,-76,4.26,WARNING,False,FiberHome,False,Desconocido,False
1779821618.5990167,2026-05-26 13:53:38,WIFI,RCU - DOCENTES,48:00:20:34:C4:21,-76,4.26,WARNING,False,ZTE,False,Desconocido,False
1779821618.6005218,2026-05-26 13:53:38,WIFI,Ficapro,52:C5:8F:AD:B8:5F,-77,4.64,WARNING,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821618.601532,2026-05-26 13:53:38,BLE,Desconocido,29:ec:18:f0:2d:47,-65,1.67,CRITICAL,False,Desconocido,False,Desconocido,False
1779821618.601532,2026-05-26 13:53:38,BLE,Desconocido,15:3c:3c:b8:f3:4a,-77,4.64,WARNING,False,Desconocido,False,Desconocido,False
1779821618.60253,2026-05-26 13:53:38,BLE,Desconocido,29:22:92:a8:bd:82,-72,3.03,WARNING,False,Desconocido,False,Desconocido,False
1779821623.1305299,2026-05-26 13:53:43,WIFI,Redmi 15,6A:1B:3A:C2:23:3A,-55,0.71,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821623.1315315,2026-05-26 13:53:43,WIFI,RCU - ADMIN,90:4C:81:9F:35:80,-59,1.0,CRITICAL,False,ZTE,False,Desconocido,False
1779821623.1315315,2026-05-26 13:53:43,WIFI,RCU - ALUMNOS,90:4C:81:9F:35:81,-59,1.0,CRITICAL,False,ZTE,False,Desconocido,False
1779821623.132541,2026-05-26 13:53:43,WIFI,RCU - DOCENTES,90:4C:81:9F:35:82,-60,1.09,CRITICAL,False,ZTE,False,Desconocido,False
1779821623.1335378,2026-05-26 13:53:43,WIFI,TECNO SPARK 20,92:20:93:C3:A2:7C,-64,1.53,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779821623.1335378,2026-05-26 13:53:43,WIFI,Galaxy A02scfe9,FE:B2:E4:D4:43:AA,-67,1.98,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
