timestamp,datetime,type,ssid_name,mac,rssi_dbm,distance_m,level,whitelisted,manufacturer,mac_random,device_type,hidden_network
1779747590.8313627,2026-05-25 17:19:50,WIFI,WILLIANS,EA:4D:74:53:55:78,-48,0.39,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747590.8313627,2026-05-25 17:19:50,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747594.5933096,2026-05-25 17:19:54,WIFI,WILLIANS,EA:4D:74:53:55:78,-45,0.3,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747594.5948184,2026-05-25 17:19:54,WIFI,W10,18:D6:C7:E0:C1:FE,-73,3.3,WARNING,False,Desconocido,False,Desconocido,False
1779747598.6008122,2026-05-25 17:19:58,WIFI,WILLIANS,EA:4D:74:53:55:78,-44,0.28,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747598.6017082,2026-05-25 17:19:58,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False,Desconocido,False,Desconocido,False
1779747602.6653647,2026-05-25 17:20:02,WIFI,WILLIANS,EA:4D:74:53:55:78,-44,0.28,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747602.6653647,2026-05-25 17:20:02,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747606.6834059,2026-05-25 17:20:06,WIFI,WILLIANS,EA:4D:74:53:55:78,-47,0.36,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747606.684913,2026-05-25 17:20:06,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747610.7591834,2026-05-25 17:20:10,WIFI,WILLIANS,EA:4D:74:53:55:78,-43,0.26,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747610.7600768,2026-05-25 17:20:10,WIFI,W10,18:D6:C7:E0:C1:FE,-73,3.3,WARNING,False,Desconocido,False,Desconocido,False
1779747614.7385168,2026-05-25 17:20:14,WIFI,WILLIANS,EA:4D:74:53:55:78,-56,0.77,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747614.7395177,2026-05-25 17:20:14,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False,Desconocido,False,Desconocido,False
1779747618.705384,2026-05-25 17:20:18,WIFI,WILLIANS,EA:4D:74:53:55:78,-58,0.92,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747618.705384,2026-05-25 17:20:18,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747622.781882,2026-05-25 17:20:22,WIFI,WILLIANS,EA:4D:74:53:55:78,-54,0.65,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747622.7828796,2026-05-25 17:20:22,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747626.759402,2026-05-25 17:20:26,WIFI,WILLIANS,EA:4D:74:53:55:78,-56,0.77,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747626.760298,2026-05-25 17:20:26,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747630.78233,2026-05-25 17:20:30,WIFI,WILLIANS,EA:4D:74:53:55:78,-43,0.26,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747630.7833302,2026-05-25 17:20:30,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747634.7502003,2026-05-25 17:20:34,WIFI,WILLIANS,EA:4D:74:53:55:78,-47,0.36,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747634.7502003,2026-05-25 17:20:34,WIFI,W10,18:D6:C7:E0:C1:FE,-73,3.3,WARNING,False,Desconocido,False,Desconocido,False
1779747638.8409843,2026-05-25 17:20:38,WIFI,WILLIANS,EA:4D:74:53:55:78,-45,0.3,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747638.8419845,2026-05-25 17:20:38,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False,Desconocido,False,Desconocido,False
1779747642.7609963,2026-05-25 17:20:42,WIFI,WILLIANS,EA:4D:74:53:55:78,-45,0.3,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747642.7609963,2026-05-25 17:20:42,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False,Desconocido,False,Desconocido,False
1779747646.7287579,2026-05-25 17:20:46,WIFI,WILLIANS,EA:4D:74:53:55:78,-61,1.19,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747646.7296586,2026-05-25 17:20:46,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747650.7366188,2026-05-25 17:20:50,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747650.737631,2026-05-25 17:20:50,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747654.709253,2026-05-25 17:20:54,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747654.7102447,2026-05-25 17:20:54,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747658.7744064,2026-05-25 17:20:58,WIFI,WILLIANS,EA:4D:74:53:55:78,-51,0.51,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747658.7744064,2026-05-25 17:20:58,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747662.7603137,2026-05-25 17:21:02,WIFI,WILLIANS,EA:4D:74:53:55:78,-49,0.43,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747662.7603137,2026-05-25 17:21:02,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747666.7759876,2026-05-25 17:21:06,WIFI,WILLIANS,EA:4D:74:53:55:78,-60,1.09,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747666.7769887,2026-05-25 17:21:06,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747670.7812555,2026-05-25 17:21:10,WIFI,WILLIANS,EA:4D:74:53:55:78,-53,0.6,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747670.7822568,2026-05-25 17:21:10,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747674.7642665,2026-05-25 17:21:14,WIFI,WILLIANS,EA:4D:74:53:55:78,-54,0.65,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747674.7657733,2026-05-25 17:21:14,WIFI,W10,18:D6:C7:E0:C1:FE,-74,3.59,WARNING,False,Desconocido,False,Desconocido,False
1779747678.753587,2026-05-25 17:21:18,WIFI,WILLIANS,EA:4D:74:53:55:78,-50,0.46,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747678.754589,2026-05-25 17:21:18,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747682.8128078,2026-05-25 17:21:22,WIFI,WILLIANS,EA:4D:74:53:55:78,-50,0.46,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747682.813703,2026-05-25 17:21:22,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747686.8436947,2026-05-25 17:21:26,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-39,0.18,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747686.8436947,2026-05-25 17:21:26,WIFI,WILLIANS,EA:4D:74:53:55:78,-49,0.43,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747686.8446949,2026-05-25 17:21:26,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747690.844804,2026-05-25 17:21:30,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747690.844804,2026-05-25 17:21:30,WIFI,WILLIANS,EA:4D:74:53:55:78,-51,0.51,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747690.845814,2026-05-25 17:21:30,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747694.9230227,2026-05-25 17:21:34,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747694.9230227,2026-05-25 17:21:34,WIFI,WILLIANS,EA:4D:74:53:55:78,-54,0.65,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747694.9239168,2026-05-25 17:21:34,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747698.873576,2026-05-25 17:21:38,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747698.8745873,2026-05-25 17:21:38,WIFI,WILLIANS,EA:4D:74:53:55:78,-55,0.71,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747698.8745873,2026-05-25 17:21:38,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747702.8983223,2026-05-25 17:21:42,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747702.8983223,2026-05-25 17:21:42,WIFI,WILLIANS,EA:4D:74:53:55:78,-54,0.65,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747702.899316,2026-05-25 17:21:42,WIFI,W10,18:D6:C7:E0:C1:FE,-75,3.91,WARNING,False,Desconocido,False,Desconocido,False
1779747706.936266,2026-05-25 17:21:46,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-40,0.2,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747706.937335,2026-05-25 17:21:46,WIFI,WILLIANS,EA:4D:74:53:55:78,-54,0.65,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747706.937335,2026-05-25 17:21:46,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747710.9619975,2026-05-25 17:21:50,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-40,0.2,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747710.9629617,2026-05-25 17:21:50,WIFI,WILLIANS,EA:4D:74:53:55:78,-53,0.6,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747710.9629617,2026-05-25 17:21:50,WIFI,W10,18:D6:C7:E0:C1:FE,-76,4.26,WARNING,False,Desconocido,False,Desconocido,False
1779747714.9800735,2026-05-25 17:21:54,WIFI,HONOR X7,6A:B0:2F:CD:2A:C8,-41,0.22,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
1779747714.9800735,2026-05-25 17:21:54,WIFI,WILLIANS,EA:4D:74:53:55:78,-53,0.6,CRITICAL,False,MAC Aleatoria (Privacidad),True,Smartphone moderno,False
